gid,sport,league,game_time,home,away,sb_name,player_name,price,updated,line,market,matchup,bet_url,sid
c34df215-3946-4167-8032-89e147c1196e,BASKETBALL,NBA,2025-03-04T00:45:00.000Z,Miami Heat,Washington Wizards,Dabble,Justin Champagnie Under 0.5,100,2025-03-04T00:05:27.300Z,0.5,Player Steals,Washington Wizards @ Miami Heat,,88523fb9-0ea5-4b38-949b-78c8c85bde23
c34df215-3946-4167-8032-89e147c1196e,BASKETBALL,NBA,2025-03-04T00:45:00.000Z,Miami Heat,Washington Wizards,Dabble,Alexandre Sarr Over 0.5,-105,2025-03-04T00:07:20.420Z,0.5,Player Steals,Washington Wizards @ Miami Heat,,dc351593-25fc-4485-9fb7-769b7ba7109a
c34df215-3946-4167-8032-89e147c1196e,BASKETBALL,NBA,2025-03-04T00:45:00.000Z,Miami Heat,Washington Wizards,Dabble,Tyler Herro Over 27,-105,2025-03-04T00:07:19.604Z,27,Player Points,Washington Wizards @ Miami Heat,,843d8039-07bc-4825-ad62-483e38b0093c
c34df215-3946-4167-8032-89e147c1196e,BASKETBALL,NBA,2025-03-04T00:45:00.000Z,Miami Heat,Washington Wizards,Dabble,Duncan Robinson Over 3,118,2025-03-04T00:07:18.904Z,3,Player Assists,Washington Wizards @ Miami Heat,,0aa800e4-7f95-4ccb-8305-f9d931396991
c34df215-3946-4167-8032-89e147c1196e,BASKETBALL,NBA,2025-03-04T00:45:00.000Z,Miami Heat,Washington Wizards,Dabble,Tyler Herro Over 1.5,148,2025-03-04T00:07:19.809Z,1.5,Player Steals,Washington Wizards @ Miami Heat,,21563390-6efc-42cc-a057-c1b827755a5c
c34df215-3946-4167-8032-89e147c1196e,BASKETBALL,NBA,2025-03-04T00:45:00.000Z,Miami Heat,Washington Wizards,Dabble,Tyler Herro Over 1.5,106,2025-03-04T00:07:19.809Z,1.5,Player Blocks + Steals,Washington Wizards @ Miami Heat,,994861b4-d25f-47f9-9666-3962426f0fa1
c34df215-3946-4167-8032-89e147c1196e,BASKETBALL,NBA,2025-03-04T00:45:00.000Z,Miami Heat,Washington Wizards,Dabble,Kyshawn George Under 1,102,2025-03-04T00:06:16.683Z,1,Player Steals,Washington Wizards @ Miami Heat,,15d7bf6c-09b5-4d6a-bbd8-c364fe61a957
c34df215-3946-4167-8032-89e147c1196e,BASKETBALL,NBA,2025-03-04T00:45:00.000Z,Miami Heat,Washington Wizards,Dabble,Khris Middleton Under 0.5,104,2025-03-04T00:06:13.968Z,0.5,Player Steals,Washington Wizards @ Miami Heat,,053e9d76-268b-4463-933d-c65a673ea5a1
c34df215-3946-4167-8032-89e147c1196e,BASKETBALL,NBA,2025-03-04T00:45:00.000Z,Miami Heat,Washington Wizards,Dabble,Khris Middleton Over 1.5,110,2025-03-04T00:07:17.709Z,1.5,Player Threes,Washington Wizards @ Miami Heat,,f906a6e1-2479-4e62-b0ae-0a0c69d24cee
c34df215-3946-4167-8032-89e147c1196e,BASKETBALL,NBA,2025-03-04T00:45:00.000Z,Miami Heat,Washington Wizards,Dabble,Duncan Robinson Under 2.5,106,2025-03-04T00:07:18.904Z,2.5,Player Points Q1,Washington Wizards @ Miami Heat,,ac5dd5ec-16cf-41c6-bf0e-4469ef5a520a
c34df215-3946-4167-8032-89e147c1196e,BASKETBALL,NBA,2025-03-04T00:45:00.000Z,Miami Heat,Washington Wizards,Dabble,Duncan Robinson Over 12.5,-105,2025-03-03T22:47:00.243Z,12.5,Player Points,Washington Wizards @ Miami Heat,,bf84f6ee-5371-44f8-be9a-fb70df66a3f9
c34df215-3946-4167-8032-89e147c1196e,BASKETBALL,NBA,2025-03-04T00:45:00.000Z,Miami Heat,Washington Wizards,Dabble,Duncan Robinson Over 2.5,-105,2025-03-04T00:07:18.904Z,2.5,Player Points Q1,Washington Wizards @ Miami Heat,,48b9e267-3297-4554-a099-01b47a6fe3d1
c34df215-3946-4167-8032-89e147c1196e,BASKETBALL,NBA,2025-03-04T00:45:00.000Z,Miami Heat,Washington Wizards,Dabble,Khris Middleton Over 0.5,-103,2025-03-04T00:06:13.968Z,0.5,Player Steals,Washington Wizards @ Miami Heat,,16a032e6-c4a5-445b-97e9-bfd5c854da1c
c34df215-3946-4167-8032-89e147c1196e,BASKETBALL,NBA,2025-03-04T00:45:00.000Z,Miami Heat,Washington Wizards,Dabble,Justin Champagnie Over 0.5,100,2025-03-04T00:05:27.300Z,0.5,Player Steals,Washington Wizards @ Miami Heat,,07fa51ab-f15f-4b24-a60f-d428fa1e3e7b
c34df215-3946-4167-8032-89e147c1196e,BASKETBALL,NBA,2025-03-04T00:45:00.000Z,Miami Heat,Washington Wizards,Dabble,Tyler Herro Under 1.5,-106,2025-03-04T00:07:19.809Z,1.5,Player Blocks + Steals,Washington Wizards @ Miami Heat,,a9ac62bc-af70-49bb-9f95-b051c7705fc9
c34df215-3946-4167-8032-89e147c1196e,BASKETBALL,NBA,2025-03-04T00:45:00.000Z,Miami Heat,Washington Wizards,Dabble,Alexandre Sarr Under 0.5,106,2025-03-04T00:07:20.420Z,0.5,Player Steals,Washington Wizards @ Miami Heat,,f1130d77-ef2b-4b77-9b1d-f3dad5c0a4aa
c34df215-3946-4167-8032-89e147c1196e,BASKETBALL,NBA,2025-03-04T00:45:00.000Z,Miami Heat,Washington Wizards,Dabble,Duncan Robinson Over 16,104,2025-03-04T00:07:19.023Z,16,Player Points + Assists,Washington Wizards @ Miami Heat,,264b5b06-4f52-4645-bee5-f12323379ede
c34df215-3946-4167-8032-89e147c1196e,BASKETBALL,NBA,2025-03-04T00:45:00.000Z,Miami Heat,Washington Wizards,Dabble,Duncan Robinson Under 16,-104,2025-03-04T00:07:19.023Z,16,Player Points + Assists,Washington Wizards @ Miami Heat,,f469f7df-a494-45ce-b05d-0c3d82712eba
