player_id,league,sport,first_name,last_name
6462,NFL,FOOTBALL,Ellis,Richardson
11255,NFL,FOOTBALL,Nick,Amoah
8842,NFL,FOOTBALL,Malkelm,Morrison
7926,NFL,FOOTBALL,Carl,Tucker
1875,NFL,FOOTBALL,C.J.,Mosley
8478,NFL,FOOTBALL,Samuel,Womack
995,NFL,FOOTBALL,Ron,Parker
1408,NFL,FOOTBALL,Le'Veon,Bell
8074,NFL,FOOTBALL,Matt,Seybert
156,NFL,FOOTBALL,William,Gay
7311,NFL,FOOTBALL,Javin,White
2091,NFL,FOOTBALL,Bashaud,Breeland
11533,NFL,FOOTBALL,Brandon,Aubrey
2508,NFL,FOOTBALL,Amarlo,Herrera
2199,NFL,FOOTBALL,Kasim,Edebali
2881,NFL,FOOTBALL,Tyler,Slavin
2064,NFL,FOOTBALL,DeMarcus,Lawrence
1284,NFL,FOOTBALL,Lance,Dunbar
2801,NFL,FOOTBALL,DeAndrew,White
4501,NFL,FOOTBALL,Devaroe,Lawrence
5852,NFL,FOOTBALL,DeAndre,Baker
1073,NFL,FOOTBALL,Taylor,Thompson
3374,NFL,FOOTBALL,Kevon,Seymour
8012,NFL,FOOTBALL,Corey,Straughter
7918,NFL,FOOTBALL,A.J.,Rose
777,NFL,FOOTBALL,Erik,Pears
5428,NFL,FOOTBALL,Ricky,Jeune
1982,NFL,FOOTBALL,Aaron,Colvin
12376,NFL,FOOTBALL,Marquis,Wilson
7882,NFL,FOOTBALL,Christian,Uphoff
8733,NFL,FOOTBALL,Jacob,Hummel
11522,NFL,FOOTBALL,Jerome,Kapp
2474,NFL,FOOTBALL,Nick,Boyle
8852,NFL,FOOTBALL,Ty,Clary
8809,NFL,FOOTBALL,Aaron,Shampklin
9487,NFL,FOOTBALL,Parker,Washington
6923,NFL,FOOTBALL,Geno,Stone
1907,NFL,FOOTBALL,Johnny,Manziel
7325,NFL,FOOTBALL,Joe,Gaziano
8716,NFL,FOOTBALL,Jarrid,Williams
6648,NFL,FOOTBALL,Brock,Ruble
3342,NFL,FOOTBALL,Jakeem,Grant
1684,NFL,FOOTBALL,Jaron,Brown
3268,NFL,FOOTBALL,Eric,Murray
4449,NFL,FOOTBALL,Nicholas,Morrow
11072,NFL,FOOTBALL,Joshua,Pryor
6918,NFL,FOOTBALL,Salvon,Ahmed
6137,NFL,FOOTBALL,Tommy,Sweeney
11340,NFL,FOOTBALL,Brad,Cecil
5668,NFL,FOOTBALL,Aaron,Stinnie
3561,NFL,FOOTBALL,Bryce,Williams
832,NFL,FOOTBALL,Ryan,Whalen
6751,NFL,FOOTBALL,Duplicate,Player
3356,NFL,FOOTBALL,Kyle,Murphy
6786,NFL,FOOTBALL,CeeDee,Lamb
5038,NFL,FOOTBALL,Michael,Gallup
10938,NFL,FOOTBALL,DJ,Johnson
4433,NFL,FOOTBALL,Xavier,Coleman
11584,NFL,FOOTBALL,Bucky,Irving
1195,NFL,FOOTBALL,Doug,Martin
2023,NFL,FOOTBALL,De'Anthony,Thomas
1461,NFL,FOOTBALL,Mike,Catapano
7116,NFL,FOOTBALL,Kevin,Dotson
4907,NFL,FOOTBALL,Nick,Sirianni
11649,NFL,FOOTBALL,Kendall,Milton
6783,NFL,FOOTBALL,Jerry,Jeudy
5592,NFL,FOOTBALL,Tejan,Koroma
2481,NFL,FOOTBALL,Max,Valles
221,NFL,FOOTBALL,Brent,Celek
387,NFL,FOOTBALL,Knowshon,Moreno
8432,NFL,FOOTBALL,Player,Invalid
7232,NFL,FOOTBALL,Rashad,Smith
12213,NFL,FOOTBALL,Anthony,Sao
11616,NFL,FOOTBALL,Jacob,Cowing
5965,NFL,FOOTBALL,Miles,Boykin
2125,NFL,FOOTBALL,Andrew,Peacock
11770,NFL,FOOTBALL,JD,Bertrand
4992,NFL,FOOTBALL,Dante,Pettis
1590,NFL,FOOTBALL,Eric,Reid
4804,NFL,FOOTBALL,Darrell,Brown
4529,NFL,FOOTBALL,Ryan,Lewis
439,NFL,FOOTBALL,JJ,Jansen
